{'basic_model': 'resnet50', 'motion': '', 'seq': True, 'se_layer': False, 'dilation': False, 'distillation': False, 'L2': False, 'KL': False, 'iter_num': 80000, 'iter_save': 10000, 'iter_start_seq': 0, 'train_batch_size': 6, 'last_iter': 0, 'lr': 0.001, 'lr_decay': 0.9, 'weight_decay': 0.0005, 'momentum': 0.95, 'snapshot': '', 'pretrain': './ckpt/VideoSaliency_2020-02-04 11:17:40/60000.pth', 'imgs_file': 'Pre-train/pretrain_all_seq_DUT_TR_DAFB2_DAVSOD2.txt', 'train_loader': 'both'}

[iter 47][normal], [total loss 0.52919], [loss0 0.20823], [loss1 0.22570], [loss2 0.20873] [lr 0.0009994712345]
[iter 48][normal], [total loss 0.51933], [loss0 0.20493], [loss1 0.22204], [loss2 0.20542] [lr 0.0009994599838]
[iter 49][seq], [total loss 0.51394], [loss0 0.20235], [loss1 0.21930], [loss2 0.20309] [lr 0.0009994487331]
[iter 50][normal], [total loss 0.50504], [loss0 0.19955], [loss1 0.21617], [loss2 0.20028] [lr 0.0009994374824]
[iter 51][normal], [total loss 0.49654], [loss0 0.19693], [loss1 0.21323], [loss2 0.19765] [lr 0.0009994262317]
[iter 52][seq], [total loss 0.49600], [loss0 0.19619], [loss1 0.21213], [loss2 0.19685] [lr 0.0009994149810]
[iter 53][normal], [total loss 0.48821], [loss0 0.19395], [loss1 0.20959], [loss2 0.19459] [lr 0.0009994037302]
[iter 54][normal], [total loss 0.48092], [loss0 0.19201], [loss1 0.20737], [loss2 0.19264] [lr 0.0009993924795]
[iter 55][seq], [total loss 0.47828], [loss0 0.19111], [loss1 0.20554], [loss2 0.19075] [lr 0.0009993812287]
[iter 56][normal], [total loss 0.47094], [loss0 0.18881], [loss1 0.20298], [loss2 0.18846] [lr 0.0009993699779]
[iter 57][normal], [total loss 0.46362], [loss0 0.18635], [loss1 0.20028], [loss2 0.18601] [lr 0.0009993587271]
[iter 58][seq], [total loss 0.47119], [loss0 0.18769], [loss1 0.20250], [loss2 0.18817] [lr 0.0009993474763]
[iter 59][normal], [total loss 0.46407], [loss0 0.18529], [loss1 0.19986], [loss2 0.18577] [lr 0.0009993362255]
[iter 60][normal], [total loss 0.45719], [loss0 0.18298], [loss1 0.19730], [loss2 0.18345] [lr 0.0009993249747]
[iter 61][seq], [total loss 0.45615], [loss0 0.18224], [loss1 0.19628], [loss2 0.18246] [lr 0.0009993137238]
[iter 62][normal], [total loss 0.45000], [loss0 0.18044], [loss1 0.19426], [loss2 0.18066] [lr 0.0009993024730]
[iter 63][normal], [total loss 0.44365], [loss0 0.17830], [loss1 0.19190], [loss2 0.17852] [lr 0.0009992912221]
[iter 64][seq], [total loss 0.46120], [loss0 0.18183], [loss1 0.19724], [loss2 0.18559] [lr 0.0009992799712]
[iter 65][normal], [total loss 0.45507], [loss0 0.17993], [loss1 0.19510], [loss2 0.18364] [lr 0.0009992687203]
[iter 66][normal], [total loss 0.44936], [loss0 0.17833], [loss1 0.19327], [loss2 0.18198] [lr 0.0009992574694]
[iter 67][seq], [total loss 0.45293], [loss0 0.17882], [loss1 0.19401], [loss2 0.18279] [lr 0.0009992462184]
[iter 68][normal], [total loss 0.44704], [loss0 0.17690], [loss1 0.19187], [loss2 0.18081] [lr 0.0009992349675]
[iter 69][normal], [total loss 0.44172], [loss0 0.17544], [loss1 0.19019], [loss2 0.17929] [lr 0.0009992237165]
[iter 70][seq], [total loss 0.44889], [loss0 0.17803], [loss1 0.19165], [loss2 0.18095] [lr 0.0009992124655]
[iter 71][normal], [total loss 0.44394], [loss0 0.17684], [loss1 0.19027], [loss2 0.17973] [lr 0.0009992012145]
[iter 72][normal], [total loss 0.43865], [loss0 0.17522], [loss1 0.18846], [loss2 0.17806] [lr 0.0009991899635]
[iter 73][seq], [total loss 0.43975], [loss0 0.17490], [loss1 0.18811], [loss2 0.17843] [lr 0.0009991787125]
[iter 74][normal], [total loss 0.43481], [loss0 0.17349], [loss1 0.18653], [loss2 0.17697] [lr 0.0009991674615]
[iter 75][normal], [total loss 0.42996], [loss0 0.17208], [loss1 0.18495], [loss2 0.17552] [lr 0.0009991562104]
[iter 76][seq], [total loss 0.42833], [loss0 0.17109], [loss1 0.18393], [loss2 0.17457] [lr 0.0009991449594]
[iter 77][normal], [total loss 0.42357], [loss0 0.16962], [loss1 0.18230], [loss2 0.17306] [lr 0.0009991337083]
[iter 78][normal], [total loss 0.41918], [loss0 0.16845], [loss1 0.18096], [loss2 0.17185] [lr 0.0009991224572]
[iter 79][seq], [total loss 0.41696], [loss0 0.16727], [loss1 0.17981], [loss2 0.17069] [lr 0.0009991112061]
[iter 80][normal], [total loss 0.41262], [loss0 0.16601], [loss1 0.17840], [loss2 0.16939] [lr 0.0009990999550]
[iter 81][normal], [total loss 0.40886], [loss0 0.16525], [loss1 0.17750], [loss2 0.16859] [lr 0.0009990887039]
[iter 82][seq], [total loss 0.40906], [loss0 0.16520], [loss1 0.17696], [loss2 0.16815] [lr 0.0009990774527]
[iter 83][normal], [total loss 0.40506], [loss0 0.16410], [loss1 0.17572], [loss2 0.16702] [lr 0.0009990662015]
[iter 84][normal], [total loss 0.40082], [loss0 0.16270], [loss1 0.17418], [loss2 0.16558] [lr 0.0009990549504]
[iter 85][seq], [total loss 0.40275], [loss0 0.16278], [loss1 0.17446], [loss2 0.16597] [lr 0.0009990436992]
[iter 86][normal], [total loss 0.39942], [loss0 0.16221], [loss1 0.17375], [loss2 0.16536] [lr 0.0009990324480]
[iter 87][normal], [total loss 0.39572], [loss0 0.16121], [loss1 0.17261], [loss2 0.16432] [lr 0.0009990211968]
[iter 88][seq], [total loss 0.39491], [loss0 0.16052], [loss1 0.17192], [loss2 0.16374] [lr 0.0009990099455]
[iter 89][normal], [total loss 0.39142], [loss0 0.15963], [loss1 0.17090], [loss2 0.16282] [lr 0.0009989986943]
[iter 90][normal], [total loss 0.38775], [loss0 0.15850], [loss1 0.16965], [loss2 0.16166] [lr 0.0009989874430]
[iter 91][seq], [total loss 0.38749], [loss0 0.15811], [loss1 0.16899], [loss2 0.16134] [lr 0.0009989761917]
[iter 92][normal], [total loss 0.38389], [loss0 0.15698], [loss1 0.16774], [loss2 0.16017] [lr 0.0009989649405]
[iter 93][normal], [total loss 0.38054], [loss0 0.15605], [loss1 0.16669], [loss2 0.15920] [lr 0.0009989536892]
[iter 94][seq], [total loss 0.38199], [loss0 0.15622], [loss1 0.16667], [loss2 0.15944] [lr 0.0009989424378]
[iter 95][normal], [total loss 0.37875], [loss0 0.15533], [loss1 0.16566], [loss2 0.15851] [lr 0.0009989311865]
[iter 96][normal], [total loss 0.37560], [loss0 0.15449], [loss1 0.16472], [loss2 0.15764] [lr 0.0009989199352]
[iter 97][seq], [total loss 0.37555], [loss0 0.15458], [loss1 0.16422], [loss2 0.15697] [lr 0.0009989086838]
[iter 98][normal], [total loss 0.37242], [loss0 0.15368], [loss1 0.16323], [loss2 0.15605] [lr 0.0009988974324]
[iter 99][normal], [total loss 0.36940], [loss0 0.15285], [loss1 0.16229], [loss2 0.15519] [lr 0.0009988861811]
[iter 100][seq], [total loss 0.36974], [loss0 0.15250], [loss1 0.16202], [loss2 0.15515] [lr 0.0009988749297]
[iter 101][normal], [total loss 0.36680], [loss0 0.15169], [loss1 0.16111], [loss2 0.15432] [lr 0.0009988636782]
[iter 102][normal], [total loss 0.36388], [loss0 0.15086], [loss1 0.16019], [loss2 0.15346] [lr 0.0009988524268]
[iter 103][seq], [total loss 0.36615], [loss0 0.15077], [loss1 0.16046], [loss2 0.15458] [lr 0.0009988411754]
[iter 104][normal], [total loss 0.36319], [loss0 0.14985], [loss1 0.15946], [loss2 0.15363] [lr 0.0009988299239]
[iter 105][normal], [total loss 0.36043], [loss0 0.14911], [loss1 0.15862], [loss2 0.15285] [lr 0.0009988186724]
[iter 106][seq], [total loss 0.36150], [loss0 0.14907], [loss1 0.15857], [loss2 0.15309] [lr 0.0009988074210]
[iter 107][normal], [total loss 0.35896], [loss0 0.14849], [loss1 0.15790], [loss2 0.15247] [lr 0.0009987961695]
[iter 108][normal], [total loss 0.35604], [loss0 0.14750], [loss1 0.15683], [loss2 0.15145] [lr 0.0009987849179]
[iter 109][seq], [total loss 0.35578], [loss0 0.14707], [loss1 0.15644], [loss2 0.15111] [lr 0.0009987736664]
[iter 110][normal], [total loss 0.35300], [loss0 0.14616], [loss1 0.15545], [loss2 0.15017] [lr 0.0009987624149]
[iter 111][normal], [total loss 0.35087], [loss0 0.14588], [loss1 0.15509], [loss2 0.14985] [lr 0.0009987511633]
[iter 112][seq], [total loss 0.35253], [loss0 0.14621], [loss1 0.15544], [loss2 0.14995] [lr 0.0009987399118]
[iter 113][normal], [total loss 0.34976], [loss0 0.14525], [loss1 0.15440], [loss2 0.14896] [lr 0.0009987286602]
[iter 114][normal], [total loss 0.34716], [loss0 0.14443], [loss1 0.15350], [loss2 0.14811] [lr 0.0009987174086]
[iter 115][seq], [total loss 0.34687], [loss0 0.14410], [loss1 0.15300], [loss2 0.14780] [lr 0.0009987061570]
[iter 116][normal], [total loss 0.34462], [loss0 0.14358], [loss1 0.15240], [loss2 0.14725] [lr 0.0009986949053]
[iter 117][normal], [total loss 0.34318], [loss0 0.14384], [loss1 0.15259], [loss2 0.14748] [lr 0.0009986836537]
[iter 118][seq], [total loss 0.34246], [loss0 0.14334], [loss1 0.15202], [loss2 0.14700] [lr 0.0009986724020]
[iter 119][normal], [total loss 0.34015], [loss0 0.14269], [loss1 0.15130], [loss2 0.14632] [lr 0.0009986611504]
[iter 120][normal], [total loss 0.33790], [loss0 0.14207], [loss1 0.15061], [loss2 0.14567] [lr 0.0009986498987]
[iter 121][seq], [total loss 0.33731], [loss0 0.14162], [loss1 0.15011], [loss2 0.14520] [lr 0.0009986386470]
[iter 122][normal], [total loss 0.33503], [loss0 0.14093], [loss1 0.14935], [loss2 0.14448] [lr 0.0009986273953]
[iter 123][normal], [total loss 0.33273], [loss0 0.14020], [loss1 0.14855], [loss2 0.14372] [lr 0.0009986161436]
[iter 124][seq], [total loss 0.33315], [loss0 0.14015], [loss1 0.14826], [loss2 0.14368] [lr 0.0009986048918]
[iter 125][normal], [total loss 0.33110], [loss0 0.13964], [loss1 0.14769], [loss2 0.14314] [lr 0.0009985936401]
[iter 126][normal], [total loss 0.32902], [loss0 0.13906], [loss1 0.14705], [loss2 0.14253] [lr 0.0009985823883]
[iter 127][seq], [total loss 0.33057], [loss0 0.13926], [loss1 0.14723], [loss2 0.14292] [lr 0.0009985711365]
[iter 128][normal], [total loss 0.32847], [loss0 0.13865], [loss1 0.14656], [loss2 0.14228] [lr 0.0009985598847]
[iter 129][normal], [total loss 0.32630], [loss0 0.13794], [loss1 0.14579], [loss2 0.14154] [lr 0.0009985486329]
[iter 130][seq], [total loss 0.32642], [loss0 0.13779], [loss1 0.14561], [loss2 0.14123] [lr 0.0009985373811]
[iter 131][normal], [total loss 0.32446], [loss0 0.13726], [loss1 0.14503], [loss2 0.14068] [lr 0.0009985261293]
[iter 132][normal], [total loss 0.32236], [loss0 0.13657], [loss1 0.14427], [loss2 0.13996] [lr 0.0009985148774]
[iter 133][seq], [total loss 0.32343], [loss0 0.13661], [loss1 0.14424], [loss2 0.14030] [lr 0.0009985036255]
[iter 134][normal], [total loss 0.32159], [loss0 0.13614], [loss1 0.14372], [loss2 0.13980] [lr 0.0009984923737]
[iter 135][normal], [total loss 0.31975], [loss0 0.13567], [loss1 0.14319], [loss2 0.13930] [lr 0.0009984811218]
[iter 136][seq], [total loss 0.32013], [loss0 0.13558], [loss1 0.14300], [loss2 0.13923] [lr 0.0009984698699]
[iter 137][normal], [total loss 0.31815], [loss0 0.13495], [loss1 0.14231], [loss2 0.13857] [lr 0.0009984586179]
[iter 138][normal], [total loss 0.31664], [loss0 0.13476], [loss1 0.14207], [loss2 0.13835] [lr 0.0009984473660]
[iter 139][seq], [total loss 0.32518], [loss0 0.13694], [loss1 0.14404], [loss2 0.14203] [lr 0.0009984361141]
[iter 140][normal], [total loss 0.32314], [loss0 0.13623], [loss1 0.14329], [loss2 0.14128] [lr 0.0009984248621]
[iter 141][normal], [total loss 0.32123], [loss0 0.13564], [loss1 0.14264], [loss2 0.14065] [lr 0.0009984136101]
[iter 142][seq], [total loss 0.32078], [loss0 0.13522], [loss1 0.14229], [loss2 0.14028] [lr 0.0009984023581]
[iter 143][normal], [total loss 0.31882], [loss0 0.13455], [loss1 0.14157], [loss2 0.13958] [lr 0.0009983911061]
[iter 144][normal], [total loss 0.31686], [loss0 0.13386], [loss1 0.14083], [loss2 0.13885] [lr 0.0009983798541]
[iter 145][seq], [total loss 0.31668], [loss0 0.13363], [loss1 0.14050], [loss2 0.13859] [lr 0.0009983686021]
[iter 146][normal], [total loss 0.31508], [loss0 0.13327], [loss1 0.14009], [loss2 0.13820] [lr 0.0009983573500]
